Vardas         Pavardė       ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egzaminas 
Vardas773      Pavardė773    5       1       8       10      10      7       8       8       1       4       1         
Vardas774      Pavardė774    6       9       9       4       4       10      7       4       4       10      10        
Vardas775      Pavardė775    6       4       7       2       2       3       1       8       1       7       10        
Vardas776      Pavardė776    7       4       9       10      5       8       5       6       2       2       4         
Vardas777      Pavardė777    9       8       3       4       1       8       10      6       6       6       8         
Vardas778      Pavardė778    7       8       3       2       2       4       1       1       6       5       2         
Vardas779      Pavardė779    2       7       1       8       9       5       1       7       4       6       7         
Vardas780      Pavardė780    10      5       2       6       5       8       8       3       10      3       4         
Vardas781      Pavardė781    6       4       6       1       8       1       3       3       9       9       1         
Vardas782      Pavardė782    6       8       8       3       7       5       7       7       9       5       6         
Vardas783      Pavardė783    10      9       10      6       5       6       3       9       4       6       6         
Vardas784      Pavardė784    10      10      9       4       1       4       2       6       9       3       7         
Vardas785      Pavardė785    5       6       8       3       6       5       3       5       1       3       2         
Vardas786      Pavardė786    4       2       6       1       5       2       5       10      10      7       3         
Vardas787      Pavardė787    8       4       4       7       6       2       8       3       2       2       10        
Vardas788      Pavardė788    1       10      6       4       1       6       8       7       1       4       6         
Vardas789      Pavardė789    4       7       7       1       9       7       8       6       10      10      8         
Vardas790      Pavardė790    9       7       8       5       7       3       1       4       5       4       7         
Vardas791      Pavardė791    1       2       7       6       7       3       10      7       3       5       8         
Vardas792      Pavardė792    5       2       4       8       1       4       7       7       1       3       10        
Vardas793      Pavardė793    3       5       5       9       5       2       10      3       10      1       2         
Vardas794      Pavardė794    5       4       6       1       3       2       3       7       3       9       7         
Vardas795      Pavardė795    2       7       5       6       3       2       7       7       1       2       1         
Vardas796      Pavardė796    3       9       7       3       4       2       6       7       1       4       3         
Vardas797      Pavardė797    8       10      4       10      7       10      10      8       10      1       1         
Vardas798      Pavardė798    9       5       6       7       3       2       9       4       2       10      4         
Vardas799      Pavardė799    4       2       9       10      2       7       9       3       9       7       8         
Vardas800      Pavardė800    5       7       4       5       10      5       10      6       9       6       9         
Vardas801      Pavardė801    9       3       3       10      8       8       10      4       6       10      2         
Vardas802      Pavardė802    7       6       9       10      6       10      4       9       3       6       5         
Vardas803      Pavardė803    7       2       8       10      4       7       10      4       1       3       1         
Vardas804      Pavardė804    7       1       9       8       1       8       7       8       9       9       3         
Vardas805      Pavardė805    8       1       1       8       9       2       7       5       10      2       2         
Vardas806      Pavardė806    8       6       9       2       1       9       7       1       2       6       5         
Vardas807      Pavardė807    5       2       6       3       6       1       7       5       4       4       7         
Vardas808      Pavardė808    8       1       1       5       2       10      6       7       7       10      7         
Vardas809      Pavardė809    1       6       5       7       4       4       5       10      1       6       3         
Vardas810      Pavardė810    8       3       8       1       4       10      5       8       3       2       1         
Vardas811      Pavardė811    5       7       3       1       10      4       7       2       10      6       9         
Vardas812      Pavardė812    5       8       5       6       4       8       2       6       10      10      2         
Vardas813      Pavardė813    6       5       4       4       6       6       9       9       4       10      1         
Vardas814      Pavardė814    6       6       2       8       6       5       4       1       4       7       3         
Vardas815      Pavardė815    4       7       9       1       10      7       5       6       7       5       5         
Vardas816      Pavardė816    9       5       5       5       6       3       7       8       8       4       2         
Vardas817      Pavardė817    5       9       9       5       9       6       8       4       9       9       1         
Vardas818      Pavardė818    9       7       10      8       5       3       8       9       5       1       8         
Vardas819      Pavardė819    7       1       8       4       8       5       9       7       3       6       4         
Vardas820      Pavardė820    8       1       7       9       2       6       10      1       6       7       8         
Vardas821      Pavardė821    9       3       9       5       1       1       8       7       6       7       2         
Vardas822      Pavardė822    9       4       9       7       4       2       8       1       6       9       4         
Vardas823      Pavardė823    5       3       4       4       6       8       9       7       5       7       1         
Vardas824      Pavardė824    7       2       1       4       1       6       2       1       7       4       3         
Vardas825      Pavardė825    10      7       4       6       10      9       2       6       10      5       10        
Vardas826      Pavardė826    4       9       10      3       2       9       10      2       6       5       4         
Vardas827      Pavardė827    6       6       2       2       5       1       8       7       8       8       5         
Vardas828      Pavardė828    6       1       1       3       10      3       3       6       2       5       9         
Vardas829      Pavardė829    2       7       7       10      2       6       3       8       10      3       5         
Vardas830      Pavardė830    2       7       5       9       6       3       10      6       3       2       6         
Vardas831      Pavardė831    9       7       7       2       1       7       3       9       10      9       4         
Vardas832      Pavardė832    10      5       7       7       3       5       1       6       1       7       4         
Vardas833      Pavardė833    3       10      4       4       7       10      2       9       8       4       7         
Vardas834      Pavardė834    7       8       4       4       8       7       6       5       6       9       1         
Vardas835      Pavardė835    4       5       4       4       2       2       9       7       2       6       6         
Vardas836      Pavardė836    2       1       8       1       8       2       8       9       3       1       10        
Vardas837      Pavardė837    5       1       6       9       3       8       4       10      3       3       10        
Vardas838      Pavardė838    10      2       10      6       3       2       3       2       2       2       2         
Vardas839      Pavardė839    2       5       4       9       7       7       8       4       7       4       8         
Vardas840      Pavardė840    8       9       4       1       7       5       10      9       2       5       5         
Vardas841      Pavardė841    7       7       10      10      6       8       9       4       6       9       7         
Vardas842      Pavardė842    7       2       3       7       7       5       6       2       5       9       10        
Vardas843      Pavardė843    1       2       9       7       1       2       1       4       6       9       3         
Vardas844      Pavardė844    1       8       5       3       9       4       1       8       8       9       5         
Vardas845      Pavardė845    2       2       7       1       7       2       9       1       1       1       4         
Vardas846      Pavardė846    10      3       5       10      6       3       8       2       6       2       6         
Vardas847      Pavardė847    7       2       10      5       9       8       10      4       8       2       8         
Vardas848      Pavardė848    6       1       8       4       4       5       5       4       8       8       5         
Vardas849      Pavardė849    9       10      1       8       8       3       7       4       10      10      6         
Vardas850      Pavardė850    6       3       10      1       4       4       4       4       9       7       4         
Vardas851      Pavardė851    9       2       8       8       8       3       6       4       9       10      9         
Vardas852      Pavardė852    6       5       5       7       3       1       6       4       2       9       9         
Vardas853      Pavardė853    2       4       7       8       2       2       4       1       2       2       4         
Vardas854      Pavardė854    7       6       1       3       8       7       1       7       8       3       10        
Vardas855      Pavardė855    6       6       4       4       10      9       5       9       7       1       9         
Vardas856      Pavardė856    1       8       1       8       2       4       7       7       1       10      2         
Vardas857      Pavardė857    3       1       6       6       7       5       5       4       6       6       10        
Vardas858      Pavardė858    1       8       2       4       8       8       8       2       3       3       3         
Vardas859      Pavardė859    10      1       6       7       8       5       5       9       7       2       6         
Vardas860      Pavardė860    7       5       10      5       2       6       3       3       9       1       1         
Vardas861      Pavardė861    6       7       1       5       1       2       1       4       9       3       8         
Vardas862      Pavardė862    9       9       8       3       9       4       7       9       10      8       9         
Vardas863      Pavardė863    5       3       6       8       2       3       9       5       2       10      4         
Vardas864      Pavardė864    10      8       6       3       1       7       10      4       1       9       5         
Vardas865      Pavardė865    10      2       7       1       1       1       6       3       8       4       6         
Vardas866      Pavardė866    3       1       5       8       2       2       5       6       4       7       8         
Vardas867      Pavardė867    8       1       9       5       3       4       5       5       5       2       3         
Vardas868      Pavardė868    4       5       4       1       4       4       3       6       1       4       8         
Vardas869      Pavardė869    7       1       2       7       5       3       3       2       2       10      5         
Vardas870      Pavardė870    2       8       7       4       6       1       2       7       3       2       9         
Vardas871      Pavardė871    10      4       4       10      10      10      3       3       4       9       3         
Vardas872      Pavardė872    8       6       10      9       3       10      4       7       10      10      8         
Vardas873      Pavardė873    6       6       2       7       2       1       1       9       10      4       1         
Vardas874      Pavardė874    5       2       7       6       3       2       5       4       9       5       6         
Vardas875      Pavardė875    3       6       2       7       3       9       6       4       2       6       7         
Vardas876      Pavardė876    8       10      2       5       1       4       7       10      10      10      2         
Vardas877      Pavardė877    10      10      8       4       9       1       9       7       9       3       8         
Vardas878      Pavardė878    10      7       5       5       5       6       7       1       8       2       2         
Vardas879      Pavardė879    1       10      1       6       8       5       6       5       2       9       7         
Vardas880      Pavardė880    3       10      1       8       5       2       10      8       1       1       6         
Vardas881      Pavardė881    8       2       1       6       9       10      8       10      5       3       10        
Vardas882      Pavardė882    2       6       1       9       7       9       4       9       9       2       10        
Vardas883      Pavardė883    5       4       10      2       2       4       6       1       10      10      10        
Vardas884      Pavardė884    4       3       8       5       3       9       2       6       4       6       6         
Vardas885      Pavardė885    8       9       5       7       8       7       8       6       8       8       7         
Vardas886      Pavardė886    3       5       3       3       5       9       2       3       6       1       5         
Vardas887      Pavardė887    5       7       5       1       3       2       3       9       5       9       9         
Vardas888      Pavardė888    8       7       7       5       9       8       7       7       2       6       2         
Vardas889      Pavardė889    1       3       2       3       9       7       9       7       1       9       9         
Vardas890      Pavardė890    4       10      4       10      9       2       2       8       3       10      4         
Vardas891      Pavardė891    8       6       5       10      1       3       1       4       4       5       1         
Vardas892      Pavardė892    6       10      5       5       4       7       7       8       3       3       8         
Vardas893      Pavardė893    1       7       1       7       10      4       2       2       7       6       4         
Vardas894      Pavardė894    2       9       7       1       5       6       6       9       4       7       4         
Vardas895      Pavardė895    4       2       9       8       7       10      10      4       7       4       3         
Vardas896      Pavardė896    9       4       6       6       4       6       5       10      4       7       5         
Vardas897      Pavardė897    8       2       5       3       10      6       6       8       6       3       6         
Vardas898      Pavardė898    3       6       1       7       7       5       9       4       5       2       7         
Vardas899      Pavardė899    10      2       9       6       9       4       5       3       10      4       1         
Vardas900      Pavardė900    5       1       7       1       8       2       1       10      3       10      2         
Vardas901      Pavardė901    5       4       10      10      9       3       5       7       8       5       8         
Vardas902      Pavardė902    1       3       1       7       3       10      4       6       4       6       10        
Vardas903      Pavardė903    3       5       2       3       1       1       2       4       2       5       1         
Vardas904      Pavardė904    3       10      2       9       9       7       1       1       10      10      6         
Vardas905      Pavardė905    5       5       1       1       7       10      4       8       8       7       6         
Vardas906      Pavardė906    4       1       9       7       1       8       5       8       7       6       9         
Vardas907      Pavardė907    2       9       5       6       10      5       2       8       10      6       8         
Vardas908      Pavardė908    5       2       2       9       7       3       9       9       5       2       2         
Vardas909      Pavardė909    8       10      5       3       8       10      1       4       9       1       1         
Vardas910      Pavardė910    2       6       8       1       3       2       9       2       7       8       6         
Vardas911      Pavardė911    2       9       3       10      9       5       1       1       9       4       4         
Vardas912      Pavardė912    9       10      6       7       5       1       6       8       9       10      9         
Vardas913      Pavardė913    2       7       8       8       7       7       7       6       10      9       6         
Vardas914      Pavardė914    3       7       9       2       8       2       8       5       10      4       10        
Vardas915      Pavardė915    2       9       4       9       2       4       7       3       5       6       8         
Vardas916      Pavardė916    2       1       1       9       7       3       3       4       4       1       9         
Vardas917      Pavardė917    10      8       1       7       4       3       4       1       10      1       2         
Vardas918      Pavardė918    8       5       4       1       8       5       7       7       8       10      10        
Vardas919      Pavardė919    8       3       10      7       10      7       3       2       8       10      1         
Vardas920      Pavardė920    10      5       1       7       4       8       8       6       6       9       1         
Vardas921      Pavardė921    4       9       8       5       1       2       1       1       9       8       10        
Vardas922      Pavardė922    8       2       7       10      6       2       4       5       3       2       2         
Vardas923      Pavardė923    10      7       2       6       7       6       2       10      3       4       9         
Vardas924      Pavardė924    1       7       4       9       4       7       3       6       6       6       2         
Vardas925      Pavardė925    7       1       4       4       4       7       4       5       2       4       5         
Vardas926      Pavardė926    7       8       4       7       9       5       9       10      6       9       8         
Vardas927      Pavardė927    6       8       8       10      5       2       5       9       8       4       2         
Vardas928      Pavardė928    9       8       1       3       9       7       2       1       9       9       10        
Vardas929      Pavardė929    1       1       5       9       6       6       1       2       5       4       7         
Vardas930      Pavardė930    1       3       9       9       2       5       10      1       9       2       6         
Vardas931      Pavardė931    4       5       10      7       9       10      1       8       1       4       1         
Vardas932      Pavardė932    6       10      7       2       7       8       6       6       6       7       3         
Vardas933      Pavardė933    7       2       2       7       5       4       6       5       7       8       10        
Vardas934      Pavardė934    3       3       4       5       5       10      6       3       8       7       4         
Vardas935      Pavardė935    7       2       9       3       10      9       9       9       7       9       5         
Vardas936      Pavardė936    9       1       7       2       2       9       9       7       7       6       7         
Vardas937      Pavardė937    9       3       4       7       4       8       5       1       9       10      8         
Vardas938      Pavardė938    5       1       2       6       10      9       3       6       7       1       1         
Vardas939      Pavardė939    3       1       5       5       6       10      1       10      4       1       5         
Vardas940      Pavardė940    3       4       9       9       2       4       2       9       2       1       2         
Vardas941      Pavardė941    8       4       10      9       1       4       10      8       10      8       3         
Vardas942      Pavardė942    9       10      3       2       8       1       5       5       3       2       9         
Vardas943      Pavardė943    5       6       3       4       7       5       1       3       4       10      4         
Vardas944      Pavardė944    1       10      5       5       4       3       8       3       1       10      3         
Vardas945      Pavardė945    10      2       5       10      7       7       1       1       10      3       7         
Vardas946      Pavardė946    3       4       7       1       3       2       5       8       5       3       4         
Vardas947      Pavardė947    1       4       1       3       9       7       10      5       5       7       6         
Vardas948      Pavardė948    9       5       6       9       5       7       10      10      7       1       3         
Vardas949      Pavardė949    7       5       6       4       6       7       3       2       8       7       3         
Vardas950      Pavardė950    2       4       9       9       4       9       7       7       4       4       3         
Vardas951      Pavardė951    8       3       5       7       3       2       4       5       6       9       5         
Vardas952      Pavardė952    4       7       4       6       5       10      3       1       7       3       9         
Vardas953      Pavardė953    10      9       5       3       2       9       10      10      5       6       3         
Vardas954      Pavardė954    7       9       10      7       10      7       6       3       9       5       1         
Vardas955      Pavardė955    6       4       2       9       3       5       5       10      1       7       7         
Vardas956      Pavardė956    4       2       7       10      2       8       7       6       6       4       6         
Vardas957      Pavardė957    10      10      2       9       1       3       10      2       4       6       3         
Vardas958      Pavardė958    8       2       8       7       3       8       5       7       5       3       9         
Vardas959      Pavardė959    8       7       3       1       7       7       4       7       5       9       2         
Vardas960      Pavardė960    9       9       4       1       10      10      8       5       1       9       4         
Vardas961      Pavardė961    8       2       3       1       10      6       5       10      6       3       1         
Vardas962      Pavardė962    7       3       8       9       4       5       1       4       5       5       9         
Vardas963      Pavardė963    8       1       1       4       1       7       3       3       5       3       9         
Vardas964      Pavardė964    9       6       4       6       4       4       2       5       4       8       7         
Vardas965      Pavardė965    10      3       4       1       2       2       5       2       5       10      9         
Vardas966      Pavardė966    5       1       5       2       9       3       7       8       6       10      7         
Vardas967      Pavardė967    7       1       6       4       10      10      9       7       8       8       7         
Vardas968      Pavardė968    9       10      2       10      6       7       10      2       10      4       8         
Vardas969      Pavardė969    6       2       1       8       7       3       2       1       3       4       3         
Vardas970      Pavardė970    10      2       10      4       6       2       8       7       3       3       2         
Vardas971      Pavardė971    9       2       8       2       8       1       3       2       6       10      10        
Vardas972      Pavardė972    8       6       2       10      8       5       2       5       5       3       2         
Vardas973      Pavardė973    9       2       7       4       2       4       3       4       7       10      9         
Vardas974      Pavardė974    10      4       1       6       9       2       8       4       10      9       4         
Vardas975      Pavardė975    3       2       6       7       7       4       4       1       9       5       10        
Vardas976      Pavardė976    8       9       4       2       6       4       1       5       10      9       9         
Vardas977      Pavardė977    6       1       1       8       10      2       7       2       4       5       3         
Vardas978      Pavardė978    9       6       10      5       8       8       4       8       1       9       6         
Vardas979      Pavardė979    10      5       2       3       7       5       1       1       8       8       8         
Vardas980      Pavardė980    7       8       7       2       8       10      4       9       5       10      7         
Vardas981      Pavardė981    10      1       4       4       6       5       2       9       2       9       7         
Vardas982      Pavardė982    3       2       2       9       6       6       1       4       9       9       1         
Vardas983      Pavardė983    7       1       5       8       3       8       9       3       8       6       3         
Vardas984      Pavardė984    6       6       4       1       7       4       8       7       4       9       8         
Vardas985      Pavardė985    10      1       5       1       10      4       3       6       4       8       2         
Vardas986      Pavardė986    2       6       10      5       1       10      7       10      2       9       2         
Vardas987      Pavardė987    8       8       7       4       5       7       7       5       5       2       3         
Vardas988      Pavardė988    6       5       1       5       8       9       7       4       9       8       3         
Vardas989      Pavardė989    10      2       3       4       5       8       4       10      4       9       3         
Vardas990      Pavardė990    8       8       1       5       2       8       3       10      8       2       10        
Vardas991      Pavardė991    6       6       7       5       7       1       10      9       1       1       1         
Vardas992      Pavardė992    2       1       4       10      1       3       4       8       10      4       2         
Vardas993      Pavardė993    7       7       4       4       6       8       7       2       7       8       3         
Vardas994      Pavardė994    7       5       4       2       9       4       10      1       3       1       3         
Vardas995      Pavardė995    3       9       7       7       7       8       5       3       10      4       10        
Vardas996      Pavardė996    9       9       2       5       10      8       5       2       8       4       4         
Vardas997      Pavardė997    9       6       3       3       3       2       2       6       8       3       9         
Vardas998      Pavardė998    3       6       6       1       3       10      9       8       6       4       10        
Vardas999      Pavardė999    7       5       9       9       3       10      2       8       1       9       4         
Vardas1000     Pavardė1000   1       10      4       1       5       3       9       8       1       10      10        
